+-------------------------------+-----------------------------------------+------------------------------------------+-----------------------------+
|                               | Key                                     | Title                                    | Unit                        |
| (97, 133, 142.0, 144.0, nan)  | Inkoopwaarde1VanDeTotaleInkoop_114      | Inkoopwaarde < 1% van de totale inkoop   | % van bedrijven             |
| (97, 133, 142.0, 145.0, nan)  | Inkoopwaarde1VanDeTotaleInkoop_115      | Inkoopwaarde >= 1% van de totale inkoop  | % van bedrijven             |
| (97, 133, 142.0, 146.0, nan)  | Inkoopwaarde2VanDeTotaleInkoop_116      | Inkoopwaarde >= 2% van de totale inkoop  | % van bedrijven             |
| (97, 133, 142.0, 147.0, nan)  | Inkoopwaarde5VanDeTotaleInkoop_117      | Inkoopwaarde >= 5% van de totale inkoop  | % van bedrijven             |
| (97, 133, 142.0, 148.0, nan)  | Inkoopwaarde10VanDeTotaleInkoop_118     | Inkoopwaarde >= 10% van de totale inkoop | % van bedrijven             |
| (97, 133, 142.0, 149.0, nan)  | Inkoopwaarde25VanDeTotaleInkoop_119     | Inkoopwaarde >= 25% van de totale inkoop | % van bedrijven             |
| (97, 133, 142.0, 150.0, nan)  | Inkoopwaarde50VanDeTotaleInkoop_120     | Inkoopwaarde >= 50% van de totale inkoop | % van bedrijven             |
| (97, 133, 151.0, 152.0, nan)  | InkoopViaEDI_121                        | Inkoop via EDI                           | % van bedrijven             |
| (97, 133, 151.0, 153.0, nan)  | Inkoopwaarde1VanDeTotaleInkoop_122      | Inkoopwaarde < 1% van de totale inkoop   | % van bedrijven             |
| (97, 133, 151.0, 154.0, nan)  | Inkoopwaarde1VanDeTotaleInkoop_123      | Inkoopwaarde >= 1% van de totale inkoop  | % van bedrijven             |
| (97, 133, 151.0, 155.0, nan)  | Inkoopwaarde2VanDeTotaleOmzet_124       | Inkoopwaarde >= 2% van de totale omzet   | % van bedrijven             |
| (97, 133, 151.0, 156.0, nan)  | Inkoopwaarde5VanDeTotaleInkoop_125      | Inkoopwaarde >= 5% van de totale inkoop  | % van bedrijven             |
| (97, 133, 151.0, 157.0, nan)  | Inkoopwaarde10VanDeTotaleInkoop_126     | Inkoopwaarde >= 10% van de totale inkoop | % van bedrijven             |
| (97, 133, 151.0, 158.0, nan)  | Inkoopwaarde25VanDeTotaleInkoop_127     | Inkoopwaarde >= 25% van de totale inkoop | % van bedrijven             |
| (97, 133, 151.0, 159.0, nan)  | Inkoopwaarde50VanDeTotaleInkoop_128     | Inkoopwaarde >= 50% van de totale inkoop | % van bedrijven             |
+-------------------------------+-----------------------------------------+------------------------------------------+-----------------------------+
